"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "Ignore", "comment", "blank", "total"
"c:\Users\1074\Desktop\Prjcts\purify-html\.eslintrc.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\1074\Desktop\Prjcts\purify-html\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 0, 0, 0, 30, 0, 0, 9, 39
"c:\Users\1074\Desktop\Prjcts\purify-html\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\1074\Desktop\Prjcts\purify-html\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\1074\Desktop\Prjcts\purify-html\.prettierrc.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\1074\Desktop\Prjcts\purify-html\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 36, 129
"c:\Users\1074\Desktop\Prjcts\purify-html\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 22, 58
"c:\Users\1074\Desktop\Prjcts\purify-html\SECURITY.md", "Markdown", 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\1074\Desktop\Prjcts\purify-html\babel.config.json", "JSON with Comments", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\1074\Desktop\Prjcts\purify-html\dist\core.d.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 22, 0, 33
"c:\Users\1074\Desktop\Prjcts\purify-html\dist\index.browser.d.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\1074\Desktop\Prjcts\purify-html\dist\index.browser.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1074\Desktop\Prjcts\purify-html\dist\index.esm.d.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 0, 4
"c:\Users\1074\Desktop\Prjcts\purify-html\dist\index.esm.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\1074\Desktop\Prjcts\purify-html\dist\types.d.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 1, 0, 22
"c:\Users\1074\Desktop\Prjcts\purify-html\dist\utils.d.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 69, 0, 87
"c:\Users\1074\Desktop\Prjcts\purify-html\jest.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 119, 54, 186
"c:\Users\1074\Desktop\Prjcts\purify-html\package-lock.json", "JSON", 17797, 0, 0, 0, 0, 0, 0, 1, 17798
"c:\Users\1074\Desktop\Prjcts\purify-html\package.json", "JSON", 22, 0, 0, 0, 0, 0, 58, 1, 81
"c:\Users\1074\Desktop\Prjcts\purify-html\src\core.ts", "TypeScript", 0, 0, 0, 180, 0, 0, 39, 36, 255
"c:\Users\1074\Desktop\Prjcts\purify-html\src\index.browser.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\1074\Desktop\Prjcts\purify-html\src\index.esm.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\1074\Desktop\Prjcts\purify-html\src\types.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 4, 6, 29
"c:\Users\1074\Desktop\Prjcts\purify-html\src\utils.ts", "TypeScript", 0, 0, 0, 127, 0, 0, 68, 36, 231
"c:\Users\1074\Desktop\Prjcts\purify-html\tests\sanitizer-without-window_structuredClone.test.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\1074\Desktop\Prjcts\purify-html\tests\sanitizer.XSS-payloads.test.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\1074\Desktop\Prjcts\purify-html\tests\sanitizer.test.js", "JavaScript", 0, 190, 0, 0, 0, 0, 0, 40, 230
"c:\Users\1074\Desktop\Prjcts\purify-html\tests\setParser.test.js", "JavaScript", 0, 66, 0, 0, 0, 0, 2, 23, 91
"c:\Users\1074\Desktop\Prjcts\purify-html\tests\utils.test.js", "JavaScript", 0, 124, 0, 0, 0, 0, 1, 35, 160
"c:\Users\1074\Desktop\Prjcts\purify-html\tsconfig.json", "JSON with Comments", 0, 0, 14, 0, 0, 0, 1, 1, 16
"c:\Users\1074\Desktop\Prjcts\purify-html\webpack.config.for-browser.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Users\1074\Desktop\Prjcts\purify-html\webpack.config.for-esm.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 2, 26
"Total", "-", 17864, 482, 19, 388, 183, 7, 386, 331, 19660
